Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,2,KE: ; 
調査年,var2,3,6,2008: ; 
調査月,var3,7,8,07: 下半期; 
スペース1,var4,9,10,**: ; 
調査票区分,var5,11,11,J: 事業所票; 
スペース2,var6,12,13,**: ; 
乗率,var7,14,23,: 整数部3桁、小数部7桁; 
FILLER,var8,24,30,: ; 
都道府県番号,var9,31,32,01~47: ; 
事業所番号,var10,33,36,0001~: ; 
中分類,var11,37,38,05~93: ; 
抽出番号,var12,39,41,001~999: 抽出率逆数; 
事業所規模,var13,42,42,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var14,43,43,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
イ入職者,var15,44,49,0~999999: 以下右詰0補足; 
ロ転入者等,var16,50,55,0~999999: ; 
(3)常用に切り替えられた者,var17,56,61,0~999999: ; 
イ離職者,var18,62,67,0~999999: ; 
ロ転出者等,var19,68,73,0~999999: ; 
(5)期末常用労働者,var20,74,79,0~999999: ; 
イ入職者,var21,80,85,0~999999: ; 
ロ転入者等,var22,86,91,0~999999: ; 
(3)常用に切り替えられた者,var23,92,97,0~999999: ; 
イ離職者,var24,98,103,0~999999: ; 
ロ転出者等,var25,104,109,0~999999: ; 
(5)期末常用労働者,var26,110,115,0~999999: ; 
イ入職者,var27,116,121,0~999999: ; 
ロ転入者等,var28,122,127,0~999999: ; 
(3)常用に切り替えられた者,var29,128,133,0~999999: ; 
イ離職者,var30,134,139,0~999999: ; 
ロ転出者等,var31,140,145,0~999999: ; 
(5)期末常用労働者,var32,146,151,0~999999: ; 
イ入職者,var33,152,157,0~999999: ; 
ロ転入者等,var34,158,163,0~999999: ; 
(3)常用に切り替えられた者,var35,164,169,0~999999: ; 
イ離職者,var36,170,175,0~999999: ; 
ロ転出者等,var37,176,181,0~999999: ; 
(5)期末常用労働者,var38,182,187,0~999999: ; 
イ入職者,var39,188,193,0~999999: ; 
ロ転入者等,var40,194,199,0~999999: ; 
イ離職者,var41,200,205,0~999999: ; 
ロ転出者等,var42,206,211,0~999999: ; 
(5)期末常用労働者,var43,212,217,0~999999: ; 
イ入職者,var44,218,223,0~999999: ; 
ロ転入者等,var45,224,229,0~999999: ; 
イ離職者,var46,230,235,0~999999: ; 
ロ転出者等,var47,236,241,0~999999: ; 
(5)期末常用労働者,var48,242,247,0~999999: ; 
イ入職者,var49,248,253,0~999999: ; 
ロ転入者等,var50,254,259,0~999999: ; 
イ離職者,var51,260,265,0~999999: ; 
ロ転出者等,var52,266,271,0~999999: ; 
(5)期末常用労働者,var53,272,277,0~999999: ; 
イ入職者,var54,278,283,0~999999: ; 
イ離職者,var55,284,289,0~999999: ; 
(5)期末常用労働者,var56,290,295,0~999999: 項目番号57~136については、下半期はデータがないため、0補足; 
19歳以下,var57,296,301,0~999999: ; 
20~24歳,var58,302,307,0~999999: ; 
25~29歳,var59,308,313,0~999999: ; 
30~34歳,var60,314,319,0~999999: ; 
35~39歳,var61,320,325,0~999999: ; 
40~44歳,var62,326,331,0~999999: ; 
45~49歳,var63,332,337,0~999999: ; 
50~54歳,var64,338,343,0~999999: ; 
55~59歳,var65,344,349,0~999999: ; 
60~64歳,var66,350,355,0~999999: ; 
65歳以上,var67,356,361,0~999999: ; 
19歳以下,var68,362,367,0~999999: ; 
20~24歳,var69,368,373,0~999999: ; 
25~29歳,var70,374,379,0~999999: ; 
30~34歳,var71,380,385,0~999999: ; 
35~39歳,var72,386,391,0~999999: ; 
40~44歳,var73,392,397,0~999999: ; 
45~49歳,var74,398,403,0~999999: ; 
50~54歳,var75,404,409,0~999999: ; 
55~59歳,var76,410,415,0~999999: ; 
60~64歳,var77,416,421,0~999999: ; 
65歳以上,var78,422,427,0~999999: ; 
19歳以下,var79,428,433,0~999999: ; 
20~24歳,var80,434,439,0~999999: ; 
25~29歳,var81,440,445,0~999999: ; 
30~34歳,var82,446,451,0~999999: ; 
35~39歳,var83,452,457,0~999999: ; 
40~44歳,var84,458,463,0~999999: ; 
45~49歳,var85,464,469,0~999999: ; 
50~54歳,var86,470,475,0~999999: ; 
55~59歳,var87,476,481,0~999999: ; 
60~64歳,var88,482,487,0~999999: ; 
65歳以上,var89,488,493,0~999999: ; 
19歳以下,var90,494,499,0~999999: ; 
20~24歳,var91,500,505,0~999999: ; 
25~29歳,var92,506,511,0~999999: ; 
30~34歳,var93,512,517,0~999999: ; 
35~39歳,var94,518,523,0~999999: ; 
40~44歳,var95,524,529,0~999999: ; 
45~49歳,var96,530,535,0~999999: ; 
50~54歳,var97,536,541,0~999999: ; 
55~59歳,var98,542,547,0~999999: ; 
60~64歳,var99,548,553,0~999999: ; 
65歳以上,var100,554,559,0~999999: ; 
専門・技術,var101,560,565,0~999999: ; 
管理,var102,566,571,0~999999: ; 
事務,var103,572,577,0~999999: ; 
販売,var104,578,583,0~999999: ; 
サービス,var105,584,589,0~999999: ; 
保安,var106,590,595,0~999999: ; 
運輸・通信,var107,596,601,0~999999: ; 
生産・労務,var108,602,607,0~999999: ; 
その他,var109,608,613,0~999999: ; 
専門・技術,var110,614,619,0~999999: ; 
管理,var111,620,625,0~999999: ; 
事務,var112,626,631,0~999999: ; 
販売,var113,632,637,0~999999: ; 
サービス,var114,638,643,0~999999: ; 
保安,var115,644,649,0~999999: ; 
運輸・通信,var116,650,655,0~999999: ; 
生産・労務,var117,656,661,0~999999: ; 
その他,var118,662,667,0~999999: ; 
専門・技術,var119,668,673,0~999999: ; 
管理,var120,674,679,0~999999: ; 
事務,var121,680,685,0~999999: ; 
販売,var122,686,691,0~999999: ; 
サービス,var123,692,697,0~999999: ; 
保安,var124,698,703,0~999999: ; 
運輸・通信,var125,704,709,0~999999: ; 
生産・労務,var126,710,715,0~999999: ; 
その他,var127,716,721,0~999999: ; 
専門・技術,var128,722,727,0~999999: ; 
管理,var129,728,733,0~999999: ; 
事務,var130,734,739,0~999999: ; 
販売,var131,740,745,0~999999: ; 
サービス,var132,746,751,0~999999: ; 
保安,var133,752,757,0~999999: ; 
運輸・通信,var134,758,763,0~999999: ; 
生産・労務,var135,764,769,0~999999: ; 
その他,var136,770,775,0~999999: ; 
調査入職者数,var137,776,779,0~9999: ; 
調査離職者数,var138,780,783,0~9999: ; 
FILLER,var139,784,790,: ; 
