Description,Varname,StartPosition,EndPosition,Value
調査年,var1,1,4,2005: ; 
スペース,var2,5,5,: ; 
都道府県番号,var3,6,7,01~47: ; 
事業所一連番号,var4,8,13,100010~: ; 
スペース,var5,14,14,: ; 
市区町村番号,var6,15,17,101~: ; 
基本調査区番号,var7,18,23,000001~: ; 
事業所番号,var8,24,27,0001~: ; 
スペース,var9,28,28,: ; 
マスター産業番号,var10,29,31,051~939: ; 
マスター事業所規模,var11,32,32,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
マスター臨時雇用者規模番号,var12,33,33,1: 0~9人; 2: 10~99人; 3: 100人以上; 
マスター企業規模,var13,34,34,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
スペース,var14,35,38,: ; 
調査票産業番号,var15,39,41,051~939: ; 
調査票事業所規模,var16,42,42,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
調査票臨時雇用者規模番号,var17,43,43,1: 0~9人; 2: 10~99人; 3: 100人以上; 
調査票企業規模,var18,44,44,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
抽出率事業所,var19,45,48,0001~: ; 
抽出率常用労働者,var20,49,50,01~: ; 
抽出率臨時労働者,var21,51,52,01~: ; 
スペース,var22,53,53,: ; 
本支区分,var23,54,54,1: 単独; 2: 本社; 3: 支社; 
民公区分,var24,55,55,4: 民営事業所; 5: 公営事業所; 
種類,var25,56,56,1: 国; 2: 都道府県; 3: 市区町村; 4: 独立行政法人; 5: その他; 
スペース,var26,57,57,: ; 
常用労働者・正社員・男,var27,58,62,00000~: (人); 
常用労働者・正社員・女,var28,63,67,00000~: (人); 
常用労働者・正社員以外・男,var29,68,72,00000~: (人); 
常用労働者・正社員以外・女,var30,73,77,00000~: (人); 
臨時労働者数,var31,78,82,00000~: (人); 
初任給用産業番号大,var32,83,83,D: 051~059:鉱業; E: 061~089:建設業; F: 091~329:製造業; G: 331~363:電気・ガス・熱供給・水道業; H: 371~415:情報通信業; I: 421~489:運輸業; J: 491~609:卸売・小売業; K: 611~675:金融・保険業; L: 681~694:不動産業; M: 701~711、713~729:飲食店、宿泊業; N: 731~736、742、749、751、753~759医療・福祉; O: 761~779:教育、学習支援業; P: 781~792:複合サービス業; Q: 801~824、829、831、833~939:サービス業; 
初任給用産業番号中,var33,84,85,05~93: 産業番号上2桁; 
初任給用産業番号小,var34,86,86,1,: I481のみ; 
初任給用企業規模,var35,87,88,T2: 1,000人以上; 53: 100~999人; 76: 10~99人; 88: 5~9人; 
確定・未確定,var36,89,89,1: 確定; 2: 未確定; 
スペース,var37,90,90,: ; 
高卒・男・初任給額,var38,91,94,0000~9999: (百円); 
高卒・男・採用人員,var39,95,98,0000~9999: (人); 
高卒・女・初任給額,var40,99,102,0000~9999: (百円); 
高卒・女・採用人数,var41,103,106,0000~9999: (人); 
高専短大・男・初任給額,var42,107,110,0000~9999: (百円); 
高専短大・男・採用人数,var43,111,114,0000~9999: (人); 
高専短大・女・初任給額,var44,115,118,0000~9999: (百円); 
高専短大・女・採用人数,var45,119,122,0000~9999: (人); 
大卒・事務系・男・初任給額,var46,123,126,0000~9999: (百円); 
大卒・事務系・男・採用人数,var47,127,130,0000~9999: (人); 
大卒・事務系・女・初任給額,var48,131,134,0000~9999: (百円); 
大卒・事務系・女・採用人数,var49,135,138,0000~9999: (人); 
大卒・技術系・男・初任給額,var50,139,142,0000~9999: (百円); 
大卒・技術系・男・採用人数,var51,143,146,0000~9999: (人); 
大卒・技術系・女・初任給額,var52,147,150,0000~9999: (百円); 
大卒・技術系・女・採用人数,var53,151,154,0000~9999: (人); 
大学院・男・初任給額,var54,155,158,0000~9999: (百円); 
大学院・男・採用人員,var55,159,162,0000~9999: (人); 
大学院・女・初任給額,var56,163,166,0000~9999: (百円); 
大学院・女・採用人員,var57,167,170,0000~9999: (人); 
スペース,var58,171,171,: ; 
集計不能コード,var59,172,172,1~7、: ; 
スペース,var60,173,174,: ; 
