Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,2,KE: ; 
調査年,var2,3,6,2008: ; 
調査月,var3,7,8,01: 上半期; 07: 下半期; 
**,var4,9,10,**: ; 
調査票区分,var5,11,11,N: 入職者票; 
**,var6,12,13,**: ; 
乗率,var7,14,23,: 整数部7桁、小数部3桁; 
FILLER,var8,24,30,: ; 
都道府県番号,var9,31,32,01~47: ; 
事業所番号,var10,33,36,0001~5999: ; 
中分類,var11,37,38,05~93: ; 
抽出番号,var12,39,41,001~999: 抽出率逆数; 
事業所規模,var13,42,42,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var14,43,43,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
性別,var15,44,44,1: 男; 2: 女; 
年齢,var16,45,46,01: 19歳以下; 02: 20~24歳; 03: 25~29歳; 04: 30~34歳; 05: 35~39歳; 06: 40~44歳; 07: 45~49歳; 08: 50~54歳; 09: 55~59歳; 10: 60~64歳; 11: 65歳以上; 
最終学歴,var17,47,47,1: 中学卒; 2: 高校卒; 3: 専修学校卒; 4: 高専・短大卒; 5: 大学・大学院(文科系)卒; 6: 大学・大学院(理科系)卒; 
卒業年度,var18,48,48,1: 平成20年3月新卒; 2: 平成19年3月以前卒; 
求職活動でのインターネットの利用,var19,49,49,1: 求人企業が直接運営するサイト; 
求職活動でのインターネットの利用,var20,50,50,2: 民間等の求人広告会社のサイト; 
求職活動でのインターネットの利用,var21,51,51,3: しごと情報ネット; 
求職活動でのインターネットの利用,var22,52,52,4.0: ハローワークインターネットサービス; 
求職活動でのインターネットの利用,var23,53,53,5: その他のサイト; 
求職活動でのインターネットの利用,var24,54,54,6: 面接日の調整や企業に対する質問等に利用; 
求職活動でのインターネットの利用,var25,55,55,7: インターネットを利用しなかった; 
入職経路,var26,56,57,01: 安定所; 02: ハローワークインターネットサービスやしごと情報ネット; 03: 民営職業紹介所; 04: 学校; 05: 前の会社; 06: 出向; 07: 出向先からの復帰; 08: 縁故; 09: 広告; 10: その他; 
就業形態,var27,58,58,1: 一般労働者; 2: パートタイム労働者; 
仕事の内容,var28,59,59,1: 専門的・技術的職業従事者; 2: 管理的職業従事者; 3: 事務従事者; 4: 販売従事者; 5: サービス職業従事者; 6: 保安職業従事者; 7: 運輸・通信従事者; 8: 生産工程・労務作業者; 9: その他の職業従事者; 
就業の経験,var29,60,60,1: ある(入職前1年以内); 2: ある(入職前1年を超え2年未満); 3: ない(入職前2年間); 
入職前の住所の県番号,var30,61,62,01-47: ; 49: 外国等不詳; 
在籍の有無,var31,63,63,1: 勤めている; 2: 勤めていない; 
前職の産業,var32,64,65,01: 農林漁業; 02: 鉱業; 03: 建設業; 04: 製造業; 05: 電気・ガス・熱供給・水道業; 06: 情報通信業; 07: 運輸業; 08: 卸売・小売業; 09: 金融・保険業; 10: 不動産業; 11: 飲食店,宿泊業; 12: 医療,福祉; 13: 教育,学習支援業; 14: 複合サービ事業; 15: サービス業; 16: その他の産業; VV: 不詳; 
前職の仕事の内容,var33,66,66,1: 専門的・技術的職業従事者; 2: 管理的職業従事者; 3: 事務従事者; 4: 販売従事者; 5: サービス職業従事者; 6: 保安職業従事者; 7: 運輸・通信従事者; 8: 生産工程・労務作業者; 9: その他の職業従事者; V: 不詳; 
前職の従業上の地位,var34,67,67,1: 雇用者(一般労働者); 2: 雇用者(パートタイム労働者); 3: 自営業主、家族従業者; V: 不詳; 
離職期間,var35,68,68,1: 15日未満; 2: 15日~1ヶ月未満; 3: 1ヶ月~3ヶ月未満; 4: 3ヶ月~6ヶ月未満; 5: 6ヶ月~1年未満; 6: 1年~1年6ヶ月未満; 7: 1年6ヶ月~2年未満; V: 不詳; 
前職の従業員数,var36,69,69,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 4人以下; 7: 官公営; V: 不詳; 
前の勤め先を辞めた理由,var37,70,71,01: 仕事の内容に興味がない; 02: 能力・個性・資格を生かせない; 03: 職場の人間関係; 04: 会社の将来が不安; 05: 収入が少ない; 06: 労働条件が悪い; 07: 結婚・出産・育児・介護; 08: 定年、契約期間の満了; 09: 会社都合; 10: その他の理由; VV: 不詳; 
現在の勤め先を選んだ理由,var38,72,73,11: 仕事の内容に興味; 12: 能力・個性・資格を生かせる; 13: 会社の将来に期待; 14: 収入が多い; 15: 労働条件がよい; 16: 通勤が便利; 17: とにかく仕事につきたかった; 18: その他の理由; VV: 不詳; 
賃金変動,var39,74,74,1: 増加3割以上; 2: 増加1割以上3割未満; 3: 増加1割未満; 4: 変わらない; 5: 減少1割未満; 6: 減少1割以上3割未満; 7: 減少3割以上; V: 不詳; 
ブランク,var40,75,80,: ; 
