Description,Varname,StartPosition,EndPosition,Value
調査年,var1,1,4,2007: ; 
府県ごとの括通し番号,var2,5,6,01~: ; 
スペース,var3,7,9,: ; 
都道府県番号,var4,10,11,01~47: ; 
事業所一連番号,var5,12,17,100010~: ; 
○○枚目,var6,18,19,1~99: ; 
労働者一連番号,var7,20,21,01~99: ; 
市区町村番号,var8,22,24,101~: ; 
基本調査区番号,var9,25,30,000001~: ; 
事業所番号,var10,31,34,0001~: ; 
スペース,var11,35,35,: ; 
マスター産業番号,var12,36,38,051~939: ; 
マスター事業所規模,var13,39,39,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
マスター臨時雇用者規模,var14,40,40,1: 0~9人; 2: 10~99人; 3: 100人以上; 
マスター企業規模,var15,41,41,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
スペース,var16,42,45,: ; 
調査票産業番号,var17,46,48,051~939: ; 
調査票事業所規模,var18,49,49,0: 15,000人以上; 1: 5,000~14,999人; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 50~99人; 7: 30~49人; 8: 10~29人; 9: 5~9人; 
調査票臨時雇用者規模,var19,50,50,1: 0~9人; 2: 10~99人; 3: 100人以上; 
調査票企業規模,var20,51,51,1: 5,000人以上; 2: 1,000~4,999人; 3: 500~999人; 4: 300~499人; 5: 100~299人; 6: 30~99人; 7: 10~29人; 8: 5~9人; 
抽出率事業所,var21,52,55,0001~: ; 
抽出率常用労働者,var22,56,57,01~: ; 
抽出率臨時労働者,var23,58,59,01~: ; 
復元倍率,var24,60,65,000001~: ; 
本支区分,var25,66,66,1: 単独事業所; 2: 本社; 3: 支社; 
民公区分,var26,67,67,4: 民営事業所; 5: 公営事業所; 
種類,var27,68,68,1: 国; 2: 都道府県; 3: 市区町村; 4: 独立行政法人; 5: その他; 
スペース,var28,69,69,: ; 
常用労働者・正社員・男,var29,70,74,00000~: ; 
常用労働者・正社員・女,var30,75,79,00000~: ; 
常用労働者・正社員以外・男,var31,80,84,00000~: ; 
常用労働者・正社員以外・女,var32,85,89,00000~: ; 
臨時労働者数,var33,90,94,00000~: ; 
産業大分類,var34,95,95,D: 051~059:鉱業; E: 061~089:建設業; F: 091~329:製造業; G: 331~363:電気・ガス・熱供給・水道業; H: 371~415:情報通信業; I: 421~489:運輸業; J: 491~609:卸売・小売業; K: 611~675:金融・保険業; L: 681~694:不動産業; M: 701~711、713~729:飲食店、宿泊業; N: 731~736、742、749、751、753~759:医療、福祉; O: 761~779:教育、学習支援業; P: 781~792:複合サービス事業; Q: 801~824、829、831、833~939:サービス業; 
産業中分類,var35,96,97,05~93: ; 
産業小分類,var36,98,98,1、: I481のみ; 
スペース,var37,99,103,: ; 
性別,var38,104,104,1: 男; 2: 女; 
雇用形態,var39,105,105,1: 正社員・正職員のうち雇用期間の定めがない人; 2: 正社員・正職員のうち雇用期間の定めがある人; 3: 正社員・正職員以外のうち雇用期間の定めがない人; 4: 正社員・正職員以外のうち雇用期間の定めがある人; 5: 臨時労働者; 
就業形態,var40,106,106,1: 一般; 2: 短時間; 
最終学歴,var41,107,107,1: 中卒; 2: 高卒; 3: 高専・短大卒; 4: 大学・大学院卒; 
年齢,var42,108,109,15~79: ; 
勤続年数,var43,110,111,00~: ; 
労働者の種類,var44,112,112,1: 生産(産業D~F、I481で事規0~8のみ); 2: 管理(産業D~F、I481で事規0~8のみ); 
役職・職種,var45,113,115,101: 部長級; 102: 課長級; 103: 係長級; 104: 職長級(産業D~Fのみ); 105: その他役職; 
経験年数,var46,116,116,1: 1年未満; 2: 1~4年; 3: 5~9年; 4: 10~14年; 5: 15年以上; 
実労働日数,var47,117,118,00~31: ; 
所定内実労働時間数,var48,119,121,000~: ; 
超過実労働時間数,var49,122,124,000~: ; 
決まって支給する現金給与額,var50,125,129,00000~: ; 
超過労働給与額,var51,130,133,0000~: ; 
所定内給与額,var52,134,138,00000~: ; 
うち通勤手当,var53,139,141,000~: ; 
うち精皆勤手当,var54,142,144,000~: ; 
うち家族手当,var55,145,147,000~: ; 
昨年1年間の賞与期末手当等特別給与額,var56,148,153,000000~: ; 
