Description,Varname,StartPosition,EndPosition,Value
調査IDT,var1,1,2,: ; 
調査年,var2,3,6,yyyy: 調査年; 
調査月,var3,7,8,01: 上期; 07: 下期; 
スペース1,var4,9,10,: ブランク; 
調査票区分,var5,11,11,R: 離職者票; 
スペース2,var6,12,13,: ブランク; 
乗率,var7,14,23,0000000000~9999999999: 整数部7桁、小数部3桁; 
都道府県番号,var8,31,32,01~47: 都道府県(別紙1); 
事業所番号,var9,33,36,0001~5999: 事業所番号; 
産業中分類,var10,37,38,05~95: 産業中分類05~95(別紙2); 
抽出番号,var11,39,41,001~999: 抽出符号; 
事業所規模,var12,42,42,1: 500人以上; 2: 100~499人; 3: 30~99人; 4: 5~29人; 
企業規模,var13,43,43,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 官公営; 
性別,var14,44,44,1: 男; 2: 女; 
年齢,var15,45,46,01: 19歳以下; 02: 20~24歳; 03: 25~29歳; 04: 30~34歳; 05: 35~39歳; 06: 40~44歳; 07: 45~49歳; 08: 50~54歳; 09: 55~59歳; 10: 60~64歳; 11: 65歳以上; 
最終学歴,var16,47,47,1: 中学卒; 2: 高校卒; 3: 専修学校卒; 4: 高専・短大卒; 5: 大学卒; 6: 大学院卒; 
卒業年度,var17,48,48,1: 新規学卒者(平成27年1月以降卒業); 2: 新規学卒者以外(平成26年12月以前卒業); 
就業形態,var18,49,49,1: 一般労働者(雇用期間の定めなし); 2: 一般労働者(雇用期間の定めあり); 3: パートタイム労働者(雇用期間の定めなし); 4: パートタイム労働者(雇用期間の定めあり); 
仕事の内容,var19,50,51,01: 管理的職業従事者; 02: 専門的・技術的職業従事者; 03: 事務従事者; 04: 販売従事者; 05: サービス職業従事者; 06: 保安職業従事者; 07: 生産工程従事者; 08: 輸送・機械運転従事者; 09: 建設・採掘従事者; 10: 運搬・清掃・包装等従事者; 11: その他の職業従事者; 
勤続期間,var20,52,52,1: 6ヶ月未満; 2: 6ヶ月~1年未満; 3: 1~2年未満; 4: 2~5年未満; 5: 5~10年未満; 6: 10年以上; V: 不詳; 
離職理由,var21,53,54,01: 契約期間の満了; 02: 経営上の都合; 03: 出向; 04: 出向元への復帰; 05: 定年; 06: 本人の責による; 07: 結婚; 08: 出産・育児; 09: 介護・看護; 10: 死亡・傷病; 11: その他の個人的理由; 
枚目,var22,55,56,00~99: 通し番号; 
番号,var23,57,58,00~99: 労働者番号; 
